"Icon Image","Icon Image"
"Allowed file types: JPEG (JPG), PNG, GIF, BMP, SVG","Allowed file types: JPEG (JPG), PNG, GIF, BMP, SVG"
Tooltip,Tooltip
Conditions,Conditions
"Choose conditions to define products,
                for which will be displayed current custom stock status.","Choose conditions to define products,
                for which will be displayed current custom stock status."
Delete,Delete
"Are you sure you want to delete this rule?","Are you sure you want to delete this rule?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"Yes, module is installed","Yes, module is installed"
"No, module is not installed","No, module is not installed"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Enable stockstatus-graphql module to activate GraphQl and Custom Stock Status compatibility. Please, run the following command in the SSH: composer require amasty/stockstatus-graphql","Enable stockstatus-graphql module to activate GraphQl and Custom Stock Status compatibility. Please, run the following command in the SSH: composer require amasty/stockstatus-graphql"
"Enable custom-stock-status-msi module to activate Magento MSI and Custom Stock Status compatibility. Please, run the following command in the SSH: composer require amasty/custom-stock-status-msi","Enable custom-stock-status-msi module to activate Magento MSI and Custom Stock Status compatibility. Please, run the following command in the SSH: composer require amasty/custom-stock-status-msi"
"In stock","In stock"
"Out of stock","Out of stock"
"Settings was saved successfully.","Settings was saved successfully."
"Unable to save Stock Status setting. Check logs for more information.","Unable to save Stock Status setting. Check logs for more information."
"We can't change item right now. Please review the log and try again.","We can't change item right now. Please review the log and try again."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"No records have been changed.","No records have been changed."
"Rule was deleted successfully.","Rule was deleted successfully."
"Something went wrong. Please review the error log.","Something went wrong. Please review the error log."
"Rule was duplicated successfully.","Rule was duplicated successfully."
"New Rule","New Rule"
"Edit Rule","Edit Rule"
"Custom Stock Status Rules","Custom Stock Status Rules"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"No records have been deleted.","No records have been deleted."
"A total of %1 record(s) have been duplicated.","A total of %1 record(s) have been duplicated."
"No records have been duplicated.","No records have been duplicated."
"Rule was saved successfully.","Rule was saved successfully."
"The ""%1"" value doesn't exist. Enter the value and try again.","The ""%1"" value doesn't exist. Enter the value and try again."
"Unable to remove icon. Error: %1","Unable to remove icon. Error: %1"
"Unable to save icon with ID %1. Error: %2","Unable to save icon with ID %1. Error: %2"
"Unable to save new icon. Error: %1","Unable to save new icon. Error: %1"
"Unable to save range with ID %1. Error: %2","Unable to save range with ID %1. Error: %2"
"Unable to save new range. Error: %1","Unable to save new range. Error: %1"
"Range with specified ID ""%1"" not found.","Range with specified ID ""%1"" not found."
"Unable to remove range with ID %1. Error: %2","Unable to remove range with ID %1. Error: %2"
"Unable to remove range. Error: %1","Unable to remove range. Error: %1"
"Unable to remove ranges for Rule with ID %1. Error: %2","Unable to remove ranges for Rule with ID %1. Error: %2"
"Unable to save rule with ID %1. Error: %2","Unable to save rule with ID %1. Error: %2"
"Unable to save new rule. Error: %1","Unable to save new rule. Error: %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule with ID %1. Error: %2","Unable to remove rule with ID %1. Error: %2"
"Unable to remove rule. Error: %1","Unable to remove rule. Error: %1"
"Unable to save stockstatus setting with ID %1. Error: %2","Unable to save stockstatus setting with ID %1. Error: %2"
"Unable to save new stockstatus setting. Error: %1","Unable to save new stockstatus setting. Error: %1"
"Unable to find stockstatus setting with id %1","Unable to find stockstatus setting with id %1"
"Unable to remove stockstatus setting with id %1. Error: %2","Unable to remove stockstatus setting with id %1. Error: %2"
"Unable to remove stockstatus setting. Error: %1","Unable to remove stockstatus setting. Error: %1"
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"Custom Conditions","Custom Conditions"
"In Stock","In Stock"
"Is New","Is New"
"In Stock %1 %2","In Stock %1 %2"
